Rank,Name,Median_score,Cooperation_rating,Wins,Initial_C_rate,CC_rate,CD_rate,DC_rate,DD_rate,CC_to_C_rate,CD_to_C_rate,DC_to_C_rate,DD_to_C_rate
32,Second by Cave,2.693238396624473,0.8025210970464135,24.0,1.0,0.7637405063291139,0.038780590717299585,0.05037341772151896,0.14710548523206746,0.9983783309452215,0.3957020479009197,0.756473590847313,0.12048865736380522
33,NMWE Stochastic: 67 players,2.6923734177215186,0.5832362869198312,63.0,1.0,0.5682637130801687,0.014972573839662441,0.14328059071729954,0.27348312236286926,0.8038041836034531,0.21615492951633072,0.1182630347782519,0.07053410491347621
34,NMWE Finite Memory: 79 players,2.6915084388185657,0.5819535864978903,64.5,1.0,0.5679810126582279,0.01397257383966244,0.14210337552742616,0.2759430379746836,0.8463173627451546,0.25307595744109784,0.10818730378505992,0.08276375770937693
35,First by Shubik,2.6914767932489454,0.7321582278481013,46.0,1.0,0.701012658227848,0.03114556962025315,0.0804177215189874,0.1874240506329115,1.0,0,0.31050138608373806,0.2211646933738224
36,Meta Hunter: 6 players,2.685654008438818,0.6320316455696202,58.0,1.0,0.5960738396624473,0.03595780590717299,0.13294303797468354,0.23502531645569624,0.9115166066320037,0.7278709485739809,0.16488416656102295,0.09616939843723023
37,EvolvedLookerUp1_1_1,2.681540084388186,0.6216054852320675,70.0,1.0,0.585487341772152,0.03611814345991567,0.13645991561181425,0.24193459915611806,0.9699973625483566,0,0.8443476760970634,0
38,Nice Meta Winner Ensemble: 215 players,2.6761919831223633,0.569909282700422,71.0,1.0,0.5621624472573838,0.007746835443037969,0.14091772151898732,0.2891729957805907,0.8470456366205642,0.2714251834207036,0.07761744434200837,0.035462874250443976
39,Second by Weiner,2.6715295358649787,0.7591582278481013,37.0,1.0,0.7361708860759492,0.02298734177215189,0.05586497890295366,0.18497679324894525,0.9996142120008996,0.23931112601813626,0.6912606066053514,0.021984976162904117
40,NMWE Long Memory: 136 players,2.6708544303797472,0.5706898734177215,73.0,1.0,0.5647489451476794,0.005940928270042187,0.1370527426160337,0.2922573839662448,0.8560091342909109,0.28280315037847664,0.0673478254739786,0.024739116043201226
41,NMWE Deterministic: 148 players,2.6706540084388184,0.570090717299578,72.0,1.0,0.5642362869198312,0.005854430379746833,0.13789240506329115,0.2920168776371308,0.8879734464214553,0.26751541027538933,0.0744078582691683,0.024019111199788536
42,Nice Meta Winner: 215 players,2.666107594936709,0.5825189873417721,66.0,1.0,0.5719324894514769,0.010586497890295355,0.13264345991561183,0.284837552742616,0.8778601112743387,0.6631986845235698,0.04041205806905053,0.04484575735080544
